,county_name,noHS,HS,someCol,Col
1008,Stanton County,18.44135802469136,38.19444444444444,28.39506172839506,14.96913580246914
1009,Stevens County,26.13325220565866,26.86340127776088,34.77334955886827,12.2299969577122
1010,Sumner County,6.657483930211202,34.94687131050767,32.94634658271022,25.44929817657091
1011,Thomas County,7.923551662353176,23.17340234919371,44.75413099741191,24.14891499104121
1012,Trego County,5.299860529986053,29.42817294281729,41.51557415155742,23.75639237563924
1013,Wabaunsee County,3.581267217630854,37.25365543547362,34.85908031362577,24.30599703326976
1014,Wallace County,4.299065420560748,28.03738317757009,39.34579439252337,28.31775700934579
1015,Washington County,6.324520476931052,41.18714359771903,30.06739243131156,22.42094349403836
1016,Wichita County,13.4020618556701,31.57216494845361,36.98453608247423,18.04123711340206
1017,Wilson County,9.341755319148938,37.40026595744681,34.90691489361702,18.35106382978723
1018,Woodson County,9.384288747346073,38.42887473460722,31.76220806794055,20.42462845010616
1019,Wyandotte County,18.83442072057736,32.28838071346332,29.60938304424745,19.26781552171186
1020,Kentucky,12.34501716682539,32.76522123001188,29.17980432045963,25.7099572827031
1021,Adair County,14.81422673864719,39.39345824071134,26.84979358526516,18.94252143537631
1022,Allen County,14.07944780955064,41.61853782222848,26.89815466967179,17.40385969854909
1023,Anderson County,8.866752751644839,34.21877882309537,31.61163376990715,25.30283465535264
1024,Ballard County,10.79084849576653,39.23617366240317,33.86777157268961,16.10520626914069
1025,Barren County,15.75580632462932,43.0816165857499,23.9929143157066,17.16966277391418
1026,Bath County,17.98287345385347,43.94624167459562,23.20409134157945,14.86679352997146
1027,Bell County,24.67878226646603,42.07662923949531,23.3070957286723,9.937492765366363
1028,Boone County,6.818309843287029,28.5913858564009,30.63282297405392,33.95748132625815
1029,Bourbon County,14.20678768745067,34.34742053526584,28.37769964841788,23.06809212886561
1030,Boyd County,11.74770191362664,32.68485864600798,34.95981962189975,20.60761981846563
1031,Boyle County,10.30300054019545,35.2354761086284,27.76113539262387,26.70038795855227
1032,Bracken County,11.13423517169615,46.94762400277489,28.94554283732224,12.97259798820673
1033,Breathitt County,22.53939021894823,38.38755882954778,22.21199099652138,16.86105995498261
1034,Breckinridge County,13.90610529315381,44.33995868062976,27.59848970577759,14.15544632043884
1035,Bullitt County,10.5086097768221,40.82057329148386,32.56455164999046,16.10626528170357
1036,Butler County,19.1705069124424,45.91013824884793,21.10599078341014,13.81336405529954
1037,Caldwell County,13.07779030439684,40.92446448703495,28.86133032694476,17.13641488162345
1038,Calloway County,9.79379224245555,31.36596495759611,27.23319987946102,31.60704292048732
1039,Campbell County,6.988845267028104,26.65295693899171,27.65314388982365,38.70505390415654
1040,Carlisle County,14.70322386260922,47.66495932509793,25.09792106056041,12.53389575173245
1041,Carroll County,19.24480628860191,42.2515440763616,31.89219539584503,6.611454239191465
1042,Carter County,20.49713193116635,39.94537011745425,26.65938268232723,12.89811526905217
1043,Casey County,25.54950045413261,40.46321525885558,22.43415077202543,11.55313351498638
1044,Christian County,13.82032601544797,31.62203650008528,36.24180697351429,18.31583051095246
1045,Clark County,10.77059823774927,36.42371309321379,32.75235739681558,20.05333127222136
1046,Clay County,31.65477404009514,37.82534828406388,19.02820251444105,11.49167516139993
1047,Clinton County,21.89693801344287,38.4167289021658,25.84017923823749,13.84615384615385
1048,Crittenden County,14.23856671381424,43.98868458274399,28.82288228822883,12.94986641521295
1049,Cumberland County,20.36313491151459,45.75959549528844,20.43208457825787,13.4451850149391
1050,Daviess County,9.074402254437699,33.79913424944075,32.11702158565991,25.00944191046164
1051,Edmonson County,19.10099637681159,45.82201086956522,24.92074275362319,10.15625
1052,Elliott County,24.88186114140312,46.25590694292984,19.92002908033442,8.942202835332607
1053,Estill County,25.73325406262386,42.89536266349584,20.75901704320254,10.61236623067776
1054,Fayette County,7.636568730074515,18.86844759269084,27.88205547350359,45.61292820373106
1055,Fleming County,18.68716735659373,40.35087719298245,25.2808988764045,15.68105657401932
1056,Floyd County,22.86413322284045,38.97241624245294,25.54753166804783,12.61591886665877
1057,Franklin County,9.429624089309954,30.2612260727444,30.66012908944846,29.64902074849719
1058,Fulton County,20.0,39.05390539053906,27.21672167216721,13.72937293729373
1059,Gallatin County,15.02234444826401,49.58748710897216,24.97421794431076,10.41595049845308
1060,Garrard County,14.5343137254902,38.14542483660131,26.86274509803922,20.45751633986928
1061,Grant County,11.73366834170854,45.28266331658292,27.97738693467337,15.00628140703518
1062,Graves County,10.53120581700666,40.69076954150677,30.80589779842456,17.97212684306201
1063,Grayson County,16.77379688111341,45.52568330445476,26.29813872896987,11.40238108546196
1064,Green County,19.1875,40.8375,26.0625,13.9125
1065,Greenup County,9.819302969987902,36.53358310892558,36.8536080864848,16.79350583460172
1066,Hancock County,14.46098478652053,42.69589399640111,27.53149026664485,15.3116309504335
1067,Hardin County,7.978672368655509,30.60021656592239,38.82423893526324,22.59687213015886
1068,Harlan County,25.14728517594608,35.77835571360331,29.55787909346638,9.516480016984238
1069,Harrison County,14.97614283515469,40.48022164075727,27.08942588887179,17.45420963521625
1070,Hart County,22.02241943017281,42.86937568114588,24.54460532461466,10.56359956406664
1071,Henderson County,11.52409234601016,38.0176900724846,32.44882970910368,18.00938787240157
1072,Henry County,15.71228397944885,41.77487155534797,28.6781877627277,13.83465670247548
1073,Hickman County,11.2962962962963,39.01234567901234,25.3395061728395,24.35185185185185
1074,Hopkins County,12.30808112718772,39.93176217855564,31.30094142920326,16.45921526505339
1075,Jackson County,28.65554465161924,44.08461454585105,18.1659579108058,9.093882891723911
1076,Jefferson County,8.747038353324449,26.33033466607434,29.93114171479342,34.99148526580779
1077,Jessamine County,10.31402889976106,31.76129252474684,28.28535669586984,29.63932187962225
1078,Johnson County,16.94006112393189,39.57462733112955,27.36231522484875,16.12299632008981
1079,Kenton County,8.454289475290077,27.42980184986619,28.59272432460705,35.52318435023668
1080,Knott County,29.58515283842795,29.52560539896785,24.85113140134974,16.03811036125446
1081,Knox County,23.97350993377484,38.96983075791023,21.76600441501104,15.2906548933039
1082,Larue County,19.18942060698316,33.77414137570165,30.13985348682333,16.89658453049186
1083,Laurel County,17.50974579238544,39.54340670884007,27.50997922453839,15.43686827423609
1084,Lawrence County,23.57974594213126,42.58115737473535,21.68313338038109,12.15596330275229
1085,Lee County,27.07628711010898,40.88688462983841,24.16384817737693,7.872980082675686
